id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
PA0156,Painters,Melanie Chan,A,Language & Representation,Word,…academic words about art … are formal processes which are different from making art…,27,272,335
PA0157,Painters,Paul Hartal,A,Language & Representation,Words/image relation,"A painting is a frozen picture in time…Poetry on the other hand is a verbal composition, an emotional or mental event moving through linear time.",32,272,336
PA0158,Painters,Melanie Chan,A,Language & Representation,Words/image relation,I am looking intently yet … gently at the flowers … and it draws me into a non-verbal communication experience. This is why I prefer to be quiet when painting.,28,272,337
I0001,Installation artists,Roi Vaara,C,Relationships,Audience,[use body so] …performances are meant to create a common ground with the audience.,4,272,338
I0002,Installation artists,Roi Vaara,C,Relationships,Audience,…create an art experience where everyone could feel something…,9,272,339
I0003,Installation artists,Roi Vaara,C,Relationships,Audience,I felt that performances would be much more direct...,17,272,340
I0004,Installation artists,Roi Vaara,C,Relationships,Audience,My art is designed for the purpose of having a direct communication between one person and another…,29,272,341
I0005,Installation artists,Roi Vaara,C,Relationships,Audience,"I feel energized, happy and satisfied, and I wish I could trigger such experiences in other people as well.",31,272,342
I0006,Installation artists,Roi Vaara,C,Relationships,Audience,"I am looking for ways to share moments of life with other people, and to convey feelings of existence…",17,272,343
I0007,Installation artists,Roi Vaara,C,Relationships,Audience,"…it did not make much sense to try to catch those [nature] phenomena in paintings or in photos, because they were much richer in reality.",39,272,344
I0008,Installation artists,Russell Jenkins (chanting artist),C,Identity,Authority,…sound in my head… my aim is to replicate it.,3,272,345
I0009,Installation artists,Ken Devine,C,Relationships,Collaboration,Meanings make our relationships with concepts and with objects.,21,273,346
I0010,Installation artists,David Johnson,C,Relationships,Collaboration,[inspiration is]… things will be randomly joining together at various points. Then an image would come to my head… combination of two ideas will produce the right thing. If you … think too theoretically … it ends up one-dimensional...,40,273,347
I0011,Installation artists,Katayoun Dowlatshahi,C,Relationships,Collaboration,"I allow the process to slowly unfold, I don’t push it… You have to experience it first.",28,273,348
I0012,Installation artists,Roi Vaara,C,Relationships,Collaboration,A good art experience is for me like a powerful feeling of being alive. It is like being under a spell or a trance.,31,273,349
I0013,Installation artists,Russell Jenkins (chanting artist),C,Relationships,Collaboration,…sound in my head… my aim is to replicate it.,3,273,350
I0014,Installation artists,Ken Devine,C,Relationships,Collaboration,All colours are in relations to other colours. They sit side by side… there is no ‘stopness’ about red.,27,273,351
I0015,Installation artists,Katayoun Dowlatshahi,C,Relationships,Collaboration,I had trust in the process.,29,273,352
I0016,Installation artists,Russell Jenkins (chanting artist),C,Relationships,Collaboration,I was working… I was asking for help.,19,273,353
I0017,Installation artists,Ken Devine,C,Relationships,Collaboration,Grey… It is the only place that has no complementary colour.,31,273,354
I0018,Installation artists,Katayoun Dowlatshahi,C,Relationships,Collaboration,… allowing the internalisation and processing of those images to influence a work of art.,28,273,355
I0019,Installation artists,Katayoun Dowlatshahi,C,Relationships,Collaboration,My … epiphany happen when I … a deeper connection with myself… don’t fully understand it but sense…,36,273,356
I0020,Installation artists,Katayoun Dowlatshahi,C,Relationships,Collaboration,… my art is my life.,38,273,357
I0021,Installation artists,Ken Devine,B,Transcendence,Collective archetype,"…you could ask anybody the question, ‘What is your favourite colour?’",2,273,358
I0022,Installation artists,David Johnson,B,Transcendence,Collective archetype,The experience of the world is immediate. The mind in itself is part of the world…,25,273,359
I0023,Installation artists,Katayoun Dowlatshahi,B,Transcendence,Collective archetype,…many individual fragments … we reflect that one light source…,7,273,360
I0024,Installation artists,Roi Vaara,B,Transcendence,Collective archetype,"…we are as much part of the biosphere as a sunset is, the complexity of life remains an inexhaustible source for art. From this point of view everybody is not an artist, as Joseph Beuys manifested, but rather everybody is art itself, I would say...",39,273,361
I0025,Installation artists,Russell Jenkins (chanting artist),B,Transcendence,Collective archetype,Moments we were One.,10,273,362
I0026,Installation artists,Katayoun Dowlatshahi,B,Transcendence,Collective archetype,… glimpse of other fragments reflecting light from the same light source as you.,36,273,363
I0027,Installation artists,Ken Devine,C,Reasoning,Contrasts,"Language has that ability because … People change continually. So, you have to think of all the gaps in between truth and untruth…",16,273,364
I0028,Installation artists,David Johnson,C,Reasoning,Contrasts,"… the human eye and the inner eye, the confusion about the two becoming the same thing.",36,273,365
I0029,Installation artists,Katayoun Dowlatshahi,C,Reasoning,Contrasts,To appreciate and understand light you have to embrace its shadow.,6,273,366
I0030,Installation artists,Roi Vaara,C,Reasoning,Contrasts,…contrast between the black and white…,10,273,367
I0031,Installation artists,Ken Devine,C,Reasoning,Contrasts,"Whether something is true or false, that is a matter of position, a point from which we see it.",24,273,368
I0032,Installation artists,Katayoun Dowlatshahi,C,Reasoning,Contrasts,"Though nature inspires me, it is the edge, the unknown that beckons.",40,273,369
I0033,Installation artists,Ken Devine,C,Reasoning,Contrasts,Colour… is so concrete and yet totally abstract.,29,273,370
I0034,Installation artists,Ken Devine,A,Visual Language,Colour,"…you could ask anybody the question, ‘What is your favourite colour?’",2,273,371
I0035,Installation artists,Roi Vaara,A,Visual Language,Colour,…colours carry different meanings within different cultures.,14,273,372
I0036,Installation artists,Ken Devine,A,Visual Language,Colour,"… people talk about colours in terms of emotion… object … event, or a person… there are those who have a very clear rational idea…",8,274,373
I0037,Installation artists,Ken Devine,A,Visual Language,Colour,All colours are in relations to other colours. They sit side by side… there is no ‘stopness’ about red.,27,274,374
I0038,Installation artists,Ken Devine,A,Visual Language,Colour,"We tend to think of colours as existing on points, but a point has no dimension…",28,274,375
I0039,Installation artists,Ken Devine,A,Visual Language,Colour,Colour… is so concrete and yet totally abstract.,29,274,376
I0040,Installation artists,Ken Devine,C,Faculties,Emotion,"… people talk about colours in terms of emotion… object … event, or a person… there are those who have a very clear rational idea…",8,274,377
I0041,Installation artists,David Johnson,C,Faculties,Emotion,[in moments of inspiration] An intense feeling of living. It is as though there is an extra light in the mind that suddenly sparks in full capacity.,46,274,378
I0042,Installation artists,Katayoun Dowlatshahi,C,Faculties,Emotion,"…experience epiphany… analysis of it I would … see connections with thoughts and ideas, and be overwhelmed by strong emotions.",33,274,379
I0043,Installation artists,Roi Vaara,C,Faculties,Emotion,"I feel energized, happy and satisfied, and I wish I could trigger such experiences in other people as well.",31,274,380
I0044,Installation artists,Russell Jenkins (chanting artist),C,Faculties,Emotion,"I have a hearing of an Aum…I hear inside.",6,274,381
I0045,Installation artists,Ken Devine,C,Faculties,Emotion,"… profound responses from people who were honest, rather than trying to be profound…",9,274,382
I0046,Installation artists,Katayoun Dowlatshahi,C,Faculties,Emotion,I would end up in tears … I as the conscious artist was not fully in control of my process. I was only able to bring my understanding to it after the work had been created.,33,274,383
I0047,Installation artists,Roi Vaara,C,Faculties,Emotion,"I am looking for ways to share moments of life with other people, and to convey feelings of existence…",17,274,384
I0048,Installation artists,Russell Jenkins (chanting artist),C,Faculties,Emotion,Chant... feels... expansion from the heart.,14,274,385
I0049,Installation artists,Ken Devine,C,Faculties,Emotion,"We represent things by creating things, and our creations can be concrete or abstract, or feelings.",17,274,386
I0050,Installation artists,Roi Vaara,C,Faculties,Emotion,"… I had a phase where I suddenly felt that I had done all I could do in art, and that there was nothing else for me to add. …I had to accept the situation. This acceptance somehow solved the problem. It made me leave behind all that I had done before and so I became more open to embrace new ideas…",26,274,387
I0051,Installation artists,Roi Vaara,C,Faculties,Emotion,"…it did not make much sense to try to catch those [nature] phenomena in paintings or in photos, because they were much richer in reality.",39,274,388
I0052,Installation artists,Roi Vaara,C,Identity,Expression,"I feel energized, happy and satisfied, and I wish I could trigger such experiences in other people as well.",31,274,389
